scenario,year,delta_ebit_bn,conversion,backlash,liquidity_drag
A 维持现状(基线),FY2026,0.0,0.0,-0.0,-0.0
A 维持现状(基线),FY2027,0.0,0.0,-0.0,-0.0
A 维持现状(基线),FY2028,0.0,0.0,-0.0,-0.0
A 维持现状(基线),FY2029,0.0,0.0,-0.0,-0.0
A 维持现状(基线),FY2030,0.0,0.0,-0.0,-0.0
B 分阶段退场(2年过渡),FY2026,0.0,0.0,-0.0,-0.0
B 分阶段退场(2年过渡),FY2027,0.5735,0.4092,-0.2016,-0.0
B 分阶段退场(2年过渡),FY2028,0.8304,0.7202,-0.1397,-0.2096
B 分阶段退场(2年过渡),FY2029,0.6702,0.6338,-0.0727,-0.218
B 分阶段退场(2年过渡),FY2030,0.7116,0.5577,-0.0,-0.2267
C 激进一刀切(立即停产),FY2026,0.0,0.0,-0.0,-0.0
C 激进一刀切(立即停产),FY2027,0.2684,0.682,-0.4031,-0.4031
C 激进一刀切(立即停产),FY2028,-0.0318,0.6002,-0.2795,-0.4192
C 激进一刀切(立即停产),FY2029,-0.0548,0.5281,-0.1453,-0.436
C 激进一刀切(立即停产),FY2030,-0.0499,0.4648,-0.0,-0.4534
D 分阶段+缓释方案(推荐),FY2026,0.0,0.0,-0.0,-0.0
D 分阶段+缓释方案(推荐),FY2027,0.6391,0.3928,-0.1075,-0.0
D 分阶段+缓释方案(推荐),FY2028,1.1025,0.7605,-0.0699,-0.1397
D 分阶段+缓释方案(推荐),FY2029,0.8616,0.6693,-0.0291,-0.1453
D 分阶段+缓释方案(推荐),FY2030,1.0042,0.5889,-0.0,-0.1511
B 分阶段(假设零抵制),FY2026,0.0,0.0,-0.0,-0.0
B 分阶段(假设零抵制),FY2027,0.7751,0.4092,-0.0,-0.0
B 分阶段(假设零抵制),FY2028,0.9701,0.7202,-0.0,-0.2096
B 分阶段(假设零抵制),FY2029,0.7429,0.6338,-0.0,-0.218
B 分阶段(假设零抵制),FY2030,0.7116,0.5577,-0.0,-0.2267
